Title,Author(s),Publisher,Publication Date,Place of Publication,Edition,Categories,Language,ISBN-10,Price,Monetary Units,Quantity,Book Binding Type,Location,ISBN-13,LC Control Number,Call Number,Dewey Class Number,Availability,Total Reserved
A beginner's guide to day trading online,"Turner, Toni.",Adams Media,1/1/2007,"Avon, Mass",2,Day trading (Securities) Electronic trading of securities.,UNKNOWN,1593376863,0,UNKNOWN,1,Hardcover,1. Stacks,9.78159E+12,2006032597,HG4515.95 .T87 2007,332.64/20285,1,0
A beginner's guide to short-term trading,"Turner, Toni.",Adams Media,1/1/2002,"Avon, Mass",1,Speculation. Stocks. Stock price forecasting. Investment analysis.,UNKNOWN,1580625703,15.95,UNKNOWN,1,Paperback,1. Stacks,9.78158E+12,2001046345,HG6041 .T87 2002,332.63/228,1,0
A course in mathematical statistics,"Roussas, George G.",Academic Press,1/1/1997,"San Diego, Calif",2,Mathematical statistics.,UNKNOWN,125993153,0,UNKNOWN,1,Hardcover,1. Stacks,9.78013E+12,96042115,QA276 .R687 1997,519.5,1,0
A first course in probability,"Ross, Sheldon M.",Prentice Hall,1/1/1998,"Upper Saddle River, N.J",5,Probabilities.,UNKNOWN,137463146,60,UNKNOWN,1,Hardcover,1. Stacks,9.78014E+12,97017297,QA273 .R83 1998,510.2,1,0
A first course in the theory of linear statistical models,"Myers, Raymond H. Milton, J. Susan",PWS-KENT Pub. Co.,1/1/1991,Boston,1,Linear models (Statistics),UNKNOWN,534916457,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,90039233,QA279 .M937 1991,519.5/3,1,0
"A practical guide to Linux commands, editors, and shell programming","Sobell, Mark G.",Prentice Hall,1/1/2010,"Upper Saddle River, NJ",2,Operating systems (Computers),UNKNOWN,131367366,0,UNKNOWN,1,Paperback,1. Stacks,9.78013E+12,2009038191,QA76.76.O63 S59483 2010,005.4/32,1,0
A practical study of argument,"Govier, Trudy.",Wadsworth Pub. Co.,1/1/1997,"Belmont, CA",4,Reasoning. Logic.,UNKNOWN,534505236,0,UNKNOWN,1,Paperback,1. Stacks,9.78053E+12,96021491,BC177 .G65 1997,168,1,0
A primer on linear models,"Monahan, John F.",Chapman & Hall/CRC,1/1/2008,Boca Raton,1,Linear models (Statistics),UNKNOWN,1420062018,0,UNKNOWN,1,Hardcover,1. Stacks,9.78142E+12,2007037035,QA279 .M659 2008,519.5,1,0
A second course in statistics : regression analysis,"Mendenhall, William. Sincich, Terry.",Pearson Education,1/1/2012,Boston,7,Commercial statistics. Statistics. Regression analysis.,UNKNOWN,321691695,0,UNKNOWN,1,Hardcover,1. Stacks,9.78032E+12,2010000433,HF1017 .M46 2012,519.5/36,1,0
Advanced sampling theory with applications : how Michael 'selected' Amy,"Singh, Sarjinder",Kluwer Academic Publishers,1/1/2003,Dordrecht Boston,1,Sampling (Statistics),UNKNOWN,1402017073,0,UNKNOWN,1,Hardcover,1. Stacks,9.7814E+12,2003062008,QA276.6 .S58 2003,519.5/2,1,0
American government : continuity and change,"O'Connor, Karen Sabato, Larry.",Allyn & Bacon,1/1/1997,Boston,1,N/A,UNKNOWN,205198112,0,UNKNOWN,1,Hardcover,1. Stacks,9.78021E+12,96016182,JK274 .O26 1997,320.473,1,0
